Account No,,,Pin No,BALANCE AMT
1196428',,,173930,-1578548690
1196428',,,767360,-1577868690
1196428',,,370849,-1577183990
1196428',,,814983,-1576313990
1196428',,,554844,-1575813990
1196428',,,259298,-1575464490
1196428',,,967631,-1575064490
1196428',,,399870,-1574199990
1196428',,,404564,-1574001490
1196428',,,472100,-1572884990
1196428',,,765728,-1572449240
1196428',,,309695,-1572090740
1196428',,,805387,-1571825240
1196428',,,351650,-1571425240
1196428',,,663316,-1570925240
1196428',,,115284,-1513606939
1196428',,,250968,-1528606939
1196428',,,866688,-1543606939
1196428',,,749781,-1558606939
1196428',,,904389,-1573606939
1196428',,,430634,-1588606939
1196428',,,165799,-1603606939
1196428',,,808735,-1603456939
1196428',,,353335,-1601480939
1196428',,,148296,-1600804439
1196428',,,303470,-1585904439
1196428',,,144802,-1571004439
1196428',,,155636,-1556104439
1196428',,,173759,-1555394939
1196428',,,523329,-1555335939
1196428',,,835910,-1553802439
1196428',,,765646,-1553268739
1196428',,,985159,-1553158739
1196428',,,309500,-1552773739
1196428',,,713029,-1552737539
1196428',,,646134,-1552580539
1196428',,,196494,-1551858539
1196428',,,614280,-1551702039
1196428',,,647569,-1551451039
1196428',,,316244,-1544451039
1196428',,,257859,-1544286339
1196428',,,223981,-1544206339
1196428',,,777390,-1544108339
1196428',,,864362,-1543936839
1196428',,,728962,-1544936839
1196428',,,744394,-1544705639
1196428',,,540678,-1544706139
1196428',,,724622,-1544710139
1196428',,,914396,-1544586139
1196428',,,645947,-1543946139
1196428',,,691850,-1543560239
1196428',,,878263,-1543050239
1196428',,,513187,-1553050239
1196428',,,933774,-1568050239
1196428',,,507354,-1583050239
1196428',,,519518,-1598050239
1196428',,,795923,-1613050239
1196428',,,683991,-1612568139
1196428',,,696936,-1612230039
1196428',,,647714,-1611556639
1196428',,,850176,-1611272639
1196428',,,209886,-1611042639
1196428',,,807374,-1609942639
1196428',,,622248,-1609644639
1196428',,,713480,-1609631139
1196428',,,408077,-1609475521
1196428',,,198162,-1609010521
1196428',,,311171,-1608541021
1196428',,,939233,-1608173871
1196428',,,753112,-1608122871
1196428',,,883486,-1608098871
1196428',,,484828,-1607445871
1196428',,,779597,-1606945871
1196428',,,453038,-1561114500
1196428',,,167442,-1560675500
1196428',,,778922,-1559949000
1196428',,,767190,-1559657500
1196428',,,127653,-1559232500
1196428',,,783024,-1558829500
1196428',,,195772,-1557933500
1196428',,,845722,-1552933500
1196428',,,758190,-1537933500
1196428',,,957491,-1537824500
1196428',,,305700,-1536300800
1196428',,,276319,-1536041700
1196428',,,142198,-1536017700
1196428',,,569326,-1535861900
1196428',,,886695,-1535751900
1196428',,,358057,-1535614900
1196428',,,302239,-1535476400
1196428',,,214487,-1535321400
1196428',,,295615,-1534890400
1196428',,,330538,-1534769900
1196428',,,687860,-1534132900
1196428',,,476350,-1533834300
1196428',,,854803,-1538834300
1196428',,,472349,-1543834300
1196428',,,957367,-1553834300
1196428',,,565901,-1563834300
1196428',,,324951,-1573834300
1196428',,,927359,-1573460300
1196428',,,906081,-1583460300
1196428',,,726765,-1582460300
1196428',,,797031,-1581860300
1196428',,,514277,-1581499650
1196428',,,969596,-1596499650
1196428',,,334871,-1611499650
1196428',,,940210,-1626499650
1196428',,,396970,-1641499650
1196428',,,888256,-1656499650
1196428',,,965763,-1671499650
1196428',,,787101,-1686499650
1196428',,,489158,-1686050650
1196428',,,498372,-1701050650
1196428',,,318622,-1716050650
1196428',,,384531,-1731050650
1196428',,,367283,-1746050650
1196428',,,639208,-1745824150
1196428',,,666606,-1745510150
1196428',,,461093,-1745199030
1196428',,,915182,-1744428030
1196428',,,459783,-1744131030
1196428',,,783859,-1743641030
1196428',,,255170,-1743395130
1196428',,,754138,-1743110630
1196428',,,647027,-1743095630
1196428',,,737808,-1742258630
1196428',,,311188,-1741897630
1196428',,,875956,-1697667764
1196428',,,305141,-1689667764
1196428',,,226388,-1681667764
1196428',,,756413,-1680956764
1196428',,,801008,-1680342764
1196428',,,838048,-1679285764
1196428',,,984339,-1678885764
1196428',,,797185,-1677669764
1196428',,,703385,-1677051264
1196428',,,527408,-1676613264
1196428',,,733173,-1676515264
1196428',,,942884,-1676247264
1196428',,,578854,-1676004264
1196428',,,984060,-1675711264
1196428',,,681163,-1675664164
1196428',,,356340,-1685664164
1196428',,,836764,-1685532164
1196428',,,649206,-1685112664
1196428',,,502230,-1684845664
1196428',,,218193,-1669945664
1196428',,,292792,-1655045664
1196428',,,122522,-1640145664
1196428',,,878433,-1631645664
1196428',,,488346,-1616745664
1196428',,,895422,-1616428264
1196428',,,443444,-1615428264
1196428',,,795779,-1605428264
1196428',,,945180,-1595428264
1196428',,,842323,-1594428264
1196428',,,618758,-1591428264
1196428',,,977975,-1591432264
1196428',,,833047,-1606432264
1196428',,,732907,-1621432264
1196428',,,520003,-1636432264
1196428',,,217383,-1641432264
1196428',,,827745,-1646432264
1196428',,,447494,-1645993264
1196428',,,449923,-1645695264
1196428',,,869772,-1645198464
1196428',,,351616,-1644819464
1196428',,,638433,-1654819464
1196428',,,804965,-1664819464
1196428',,,859907,-1674819464
1196428',,,299293,-1684819464
1196428',,,204600,-1694819464
1196428',,,790428,-1704819464
1196428',,,131727,-1714819464
1196428',,,840846,-1724819464
1196428',,,132419,-1734819464
1196428',,,659179,-1734289964
1196428',,,167124,-1733839964
1196428',,,451842,-1733677964
1196428',,,600510,-1718777964
1196428',,,906398,-1703877964
1196428',,,766712,-1698777964
1196428',,,246177,-1698549464
1196428',,,923478,-1698345464
1196428',,,213759,-1698161464
1196428',,,423315,-1697604964
1196428',,,296212,-1697289864
1196428',,,812705,-1697189864
1196428',,,209362,-1696849864
1196428',,,485695,-1694594264
1196428',,,211084,-1694283764
1196428',,,120155,-1693724564
1196428',,,888270,-1692591564
1196428',,,996469,-1650158686
1196428',,,265140,-1649694686
1196428',,,215280,-1649681886
1196428',,,381287,-1649613286
1196428',,,317636,-1649268286
1196428',,,907898,-1648653286
1196428',,,919236,-1648430286
1196428',,,637651,-1648130286
1196428',,,725600,-1648055286
1196428',,,779981,-1636755286
1196428',,,892195,-1621855286
1196428',,,303754,-1606955286
1196428',,,118399,-1603955286
1196428',,,790721,-1600955286
1196428',,,417408,-1597955286
1196428',,,873685,-1595955286
1196428',,,787840,-1592955286
1196428',,,169553,-1589955286
1196428',,,249306,-1586955286
1196428',,,788092,-1586205286
1196428',,,285215,-1586107786
1196428',,,497804,-1591107786
1196428',,,501135,-1596107786
1196428',,,583571,-1601107786
1196428',,,598621,-1600477786
1196428',,,450705,-1600017786
1196428',,,836570,-1601017786
1196428',,,678088,-1600653986
1196428',,,489447,-1600304486
1196428',,,574793,-1600165886
1196428',,,888788,-1599978886
1196428',,,441124,-1599603286
1196428',,,570013,-1599402786
1196428',,,688071,-1598672786
1196428',,,340932,-1597692286
1196428',,,275916,-1597322286
1196428',,,260858,-1596999286
1196428',,,824459,-1596457286
1196428',,,187198,-1596357286
1196428',,,682774,-1534290613
1196428',,,309876,-1534239613
1196428',,,348277,-1534188613
1196428',,,372738,-1544188613
1196428',,,320833,-1554188613
1196428',,,610943,-1564188613
1196428',,,461314,-1563637113
1196428',,,476939,-1573637113
1196428',,,871645,-1583637113
1196428',,,335070,-1583013613
1196428',,,445080,-1568013613
1196428',,,816261,-1558013613
1196428',,,812794,-1557998613
1196428',,,138240,-1557060613
1196428',,,782240,-1557032013
1196428',,,525022,-1555902013
1196428',,,634754,-1555389013
1196428',,,662576,-1555136013
1196428',,,359488,-1553358013
1196428',,,808818,-1553167013
1196428',,,690756,-1552996013
1196428',,,635687,-1562996013
1196428',,,490798,-1572996013
1196428',,,298977,-1577996013
1196428',,,903249,-1582996013
1196428',,,449042,-1582902813
1196428',,,291367,-1590902813
1196428',,,265186,-1590352813
1196428',,,986182,-1590142813
1196428',,,740073,-1589924613
1196428',,,790215,-1599924613
1196428',,,428157,-1599844613
1196428',,,571326,-1597844613
1196428',,,939338,-1597845613
1196428',,,924445,-1597849613
1196428',,,974591,-1597399613
1196428',,,621983,-1597054863
1196428',,,728949,-1602054863
1196428',,,983675,-1607054863
1196428',,,172065,-1606669363
1196428',,,526469,-1606329363
1196428',,,381253,-1605818363
1196428',,,479623,-1620818363
1196428',,,286026,-1635818363
1196428',,,739119,-1650818363
1196428',,,950368,-1650654363
1196428',,,896002,-1650364863
1196428',,,662611,-1649997863
1196428',,,755370,-1649319363
1196428',,,523161,-1649159363
1196428',,,326663,-1648767863
1196428',,,396489,-1590278203
1196428',,,164079,-1575278203
1196428',,,267028,-1575264203
1196428',,,329805,-1573992203
1196428',,,968957,-1573136203
1196428',,,299409,-1573085703
1196428',,,419948,-1571057903
1196428',,,811832,-1570333463
1196428',,,719316,-1569985963
1196428',,,299621,-1569897563
1196428',,,321024,-1569843063
1196428',,,664210,-1579843063
1196428',,,212883,-1589843063
1196428',,,383800,-1599843063
1196428',,,732623,-1599664063
1196428',,,589512,-1599447063
1196428',,,319142,-1598928998
1196428',,,477987,-1598814998
1196428',,,723197,-1598817498
1196428',,,565735,-1598491498
1196428',,,744304,-1598159498
1196428',,,444912,-1598090938
1196428',,,338309,-1598042938
1196428',,,803492,-1597918338
1196428',,,924898,-1602918338
1196428',,,177007,-1617918338
1196428',,,596994,-1617561338
1196428',,,695950,-1632561338
1196428',,,661143,-1647561338
1196428',,,209930,-1662561338
1196428',,,601713,-1662026338
1196428',,,690682,-1661630838
1196428',,,563458,-1661060838
1196428',,,555904,-1660741838
1196428',,,296052,-1660616338
1196428',,,293717,-1659766338
1196428',,,938704,-1659259838
1196428',,,361582,-1658659838
1196428',,,174809,-1658440638
1196428',,,271050,-1658340638
1196428',,,280820,-1643340638
1196428',,,741742,-1642969138
1196428',,,837096,-1642909138
1196428',,,921109,-1642719138
1196428',,,216682,-1642171638
1196428',,,639824,-1594951222
1196428',,,630292,-1594200222
1196428',,,513343,-1593038622
1196428',,,441890,-1592618122
1196428',,,126787,-1592216622
1196428',,,893563,-1591891622
1196428',,,346164,-1590840622
1196428',,,770510,-1590835122
1196428',,,836043,-1590581122
1196428',,,372971,-1590430122
1196428',,,387650,-1590312122
1196428',,,455572,-1590198122
1196428',,,906508,-1590101622
1196428',,,364936,-1590072222
1196428',,,669503,-1589595222
1196428',,,309659,-1589355922
1196428',,,402101,-1604355922
1196428',,,442194,-1603942922
1196428',,,672134,-1618942922
1196428',,,718387,-1633942922
1196428',,,649902,-1648942922
1196428',,,206742,-1663942922
1196428',,,429325,-1663888122
1196428',,,594013,-1663639622
1196428',,,696463,-1663633622
1196428',,,416141,-1663630622
1196428',,,862789,-1663463622
1196428',,,106175,-1663246122
1196428',,,973882,-1662764122
1196428',,,353716,-1661954122
1196428',,,199015,-1661624122
1196428',,,811967,-1661289122
1196428',,,883363,-1661014122
1196428',,,505090,-1660647522
1196428',,,162730,-1650647522
1196428',,,321324,-1649877222
1196428',,,399411,-1609914841
1196428',,,556304,-1609350841
1196428',,,268642,-1608850841
1196428',,,155285,-1608790841
1196428',,,882130,-1608013241
1196428',,,112810,-1607892241
1196428',,,646667,-1606492241
1196428',,,860060,-1606165241
1196428',,,537350,-1605824241
1196428',,,779440,-1605198121
1196428',,,282318,-1605110621
1196428',,,198830,-1605015121
1196428',,,570997,-1605005221
1196428',,,462204,-1604910221
1196428',,,334046,-1604798221
1196428',,,196911,-1604449221
1196428',,,931659,-1604323621
1196428',,,988417,-1619323621
1196428',,,105814,-1634323621
1196428',,,786700,-1649323621
1196428',,,316015,-1664323621
1196428',,,590848,-1679323621
1196428',,,368960,-1694323621
1196428',,,272544,-1709323621
1196428',,,651553,-1724323621
1196428',,,324206,-1739323621
1196428',,,660264,-1749323621
1196428',,,283698,-1759323621
1196428',,,844587,-1759308621
1196428',,,809335,-1758932621
1196428',,,107950,-1758431621
1196428',,,540941,-1757880121
1196428',,,910580,-1757687121
1196428',,,699072,-1757185621
1196428',,,953851,-1756985621
1196428',,,605882,-1756484621
1196428',,,937273,-1755664621
1196428',,,347542,-1755506621
1196428',,,159684,-1755204621
1196428',,,430953,-1754799021
1196428',,,355092,-1754699021
1196428',,,556865,-1718628215
1196428',,,202059,-1718101715
1196428',,,119728,-1717006515
1196428',,,283636,-1716015515
1196428',,,697887,-1715667515
1196428',,,557639,-1715523515
1196428',,,548099,-1715472515
1196428',,,637669,-1714963515
1196428',,,103756,-1729963515
1196428',,,563643,-1744963515
1196428',,,218268,-1759963515
1196428',,,978850,-1759848515
1196428',,,214192,-1759317515
1196428',,,253604,-1759293915
1196428',,,226172,-1759095915
1196428',,,500593,-1758909415
1196428',,,559695,-1758768415
1196428',,,631840,-1758708915
1196428',,,342807,-1758401915
1196428',,,658194,-1757793915
1196428',,,511026,-1755793915
1196428',,,579137,-1750793915
1196428',,,239622,-1748793915
1196428',,,813711,-1733793915
1196428',,,822871,-1718793915
1196428',,,168366,-1703793915
1196428',,,589378,-1688793915
1196428',,,869955,-1685693915
1196428',,,929515,-1670793915
1196428',,,239526,-1655893915
1196428',,,838964,-1652893915
1196428',,,557619,-1649893915
1196428',,,116228,-1649750515
1196428',,,985596,-1649740515
1196428',,,417513,-1649000515
1196428',,,186868,-1648591915
1196428',,,181244,-1648149915
1196428',,,583789,-1647199915
1196428',,,203388,-1646320915
1196428',,,192021,-1661320915
1196428',,,274463,-1671320915
1196428',,,273730,-1670919415
1196428',,,819049,-1680919415
1196428',,,289353,-1690919415
1196428',,,528221,-1700919415
1196428',,,174187,-1710919415
1196428',,,639993,-1720919415
1196428',,,200761,-1730919415
1196428',,,681890,-1730519415
1196428',,,807264,-1728319415
1196428',,,969142,-1727331915
1196428',,,640613,-1727123415
1196428',,,155040,-1726621415
1196428',,,998063,-1726094915
1196428',,,874858,-1725780415
1196428',,,746946,-1725375915
1196428',,,709639,-1715575915
1196428',,,628067,-1700675915
1196428',,,271482,-1685775915
1196428',,,325165,-1670875915
1196428',,,250631,-1655975915
1196428',,,482458,-1641075915
1196428',,,427119,-1640146915
1196428',,,394248,-1639743915
1196428',,,419260,-1639679915
1196428',,,651760,-1639664915
1196428',,,905245,-1639614915
1196428',,,674010,-1639454915
1196428',,,382586,-1630954915
1196428',,,857136,-1630107415
1196428',,,840948,-1629932215
1196428',,,753093,-1644932215
1196428',,,499079,-1649932215
1196428',,,734339,-1659932215
1196428',,,435462,-1674932215
1196428',,,203006,-1689932215
1196428',,,825800,-1689652215
1196428',,,156596,-1595292446
1196428',,,825536,-1595081446
1196428',,,933289,-1594343946
1196428',,,602968,-1594294246
1196428',,,718162,-1593768246
1196428',,,435289,-1593052246
1196428',,,607427,-1591859246
1196428',,,220414,-1591337246
1196428',,,715995,-1601337246
1196428',,,327328,-1611337246
1196428',,,781441,-1621337246
1196428',,,409866,-1631337246
1196428',,,851136,-1631105246
1196428',,,535189,-1629572746
1196428',,,722953,-1629192746
1196428',,,790434,-1628997846
1196428',,,967249,-1628805846
1196428',,,252520,-1628680346
1196428',,,747823,-1628480346
1196428',,,466802,-1628089346
1196428',,,519333,-1643089346
1196428',,,615300,-1658089346
1196428',,,497486,-1673089346
1196428',,,910012,-1688089346
1196428',,,124225,-1698089346
1196428',,,912385,-1683189346
1196428',,,333671,-1668289346
1196428',,,936420,-1667914046
1196428',,,567099,-1682914046
1196428',,,521556,-1687914046
1196428',,,956759,-1687654546
1196428',,,893511,-1687603546
1196428',,,105169,-1697603546
1196428',,,527670,-1707603546
1196428',,,439650,-1717603546
1196428',,,561100,-1727603546
1196428',,,970355,-1737603546
1196428',,,614327,-1736853546
1196428',,,349403,-1736744546
1196428',,,417953,-1736542046
1196428',,,370846,-1736281046
1196428',,,778882,-1735673046
1196428',,,603829,-1735134046
1196428',,,559719,-1750134046
1196428',,,850254,-1749953046
1196428',,,555327,-1749772046
1196428',,,309190,-1743872046
1196428',,,103991,-1728872046
1196428',,,869395,-1728722046
1196428',,,303028,-1728422046
1196428',,,145182,-1727616546
1196428',,,840212,-1668719973
1196428',,,753093,-1660519973
1196428',,,362432,-1670519973
1196428',,,724457,-1680519973
1196428',,,771177,-1690519973
1196428',,,140670,-1690320973
1196428',,,886065,-1689758973
1196428',,,950434,-1686458973
1196428',,,230224,-1671558973
1196428',,,914984,-1656658973
1196428',,,295891,-1656190973
1196428',,,556422,-1646190973
1196428',,,207956,-1646088973
1196428',,,581273,-1646069973
1196428',,,244414,-1644860973
1196428',,,389980,-1644333473
1196428',,,478237,-1644199973
1196428',,,125370,-1644034973
1196428',,,919850,-1643972873
1196428',,,471002,-1643593873
1196428',,,705736,-1643218873
1196428',,,750695,-1643113143
1196428',,,667339,-1641113143
1196428',,,889324,-1626213143
1196428',,,294189,-1631213143
1196428',,,417993,-1631049943
1196428',,,461861,-1621049943
1196428',,,881785,-1611049943
1196428',,,488758,-1609049943
1196428',,,326697,-1607049943
1196428',,,149896,-1605049943
1196428',,,203963,-1603049943
1196428',,,587217,-1603050443
1196428',,,188029,-1603054443
1196428',,,426272,-1618054443
1196428',,,921377,-1633054443
1196428',,,926933,-1632670443
1196428',,,474699,-1632370443
1196428',,,188650,-1647370443
1196428',,,235398,-1662370443
1196428',,,796083,-1677370443
1196428',,,126401,-1676835443
1196428',,,980121,-1691835443
1196428',,,545392,-1701835443
1196428',,,590716,-1711835443
1196428',,,891160,-1721835443
1196428',,,590223,-1731835443
1196428',,,191801,-1741835443
1196428',,,973374,-1741700443
1196428',,,834082,-1741484943
1196428',,,899845,-1741389443
1196428',,,168618,-1741233825
1196428',,,448517,-1740607125
1196428',,,627961,-1728207125
1196428',,,794948,-1728017625
1196428',,,190422,-1727370625
1196428',,,618108,-1678381870
1196428',,,989650,-1678096420
1196428',,,374691,-1677391920
1196428',,,834617,-1676975920
1196428',,,551147,-1676970920
1196428',,,592318,-1676145620
1196428',,,294823,-1675789620
1196428',,,406294,-1660889620
1196428',,,976880,-1645989620
1196428',,,510883,-1636189620
1196428',,,879641,-1635405620
1196428',,,306206,-1634515620
1196428',,,129552,-1644515620
1196428',,,221318,-1654515620
1196428',,,214304,-1664515620
1196428',,,185639,-1674515620
1196428',,,605791,-1684515620
1196428',,,400132,-1684245620
1196428',,,983982,-1684233320
1196428',,,146660,-1684115320
1196428',,,558658,-1684020320
1196428',,,835725,-1683871320
1196428',,,343955,-1683745820
1196428',,,123883,-1683643820
1196428',,,798531,-1683143820
1196428',,,545685,-1688143820
1196428',,,178600,-1687873820
1196428',,,973250,-1692873820
1196428',,,785478,-1692600520
1196428',,,583142,-1690600520
1196428',,,867405,-1688600520
1196428',,,451616,-1686600520
1196428',,,665146,-1681600520
1196428',,,233677,-1671600520
1196428',,,852296,-1661600520
1196428',,,580854,-1651600520
1196428',,,432187,-1636700520
1196428',,,889506,-1631900520
1196428',,,173103,-1636900520
1196428',,,479874,-1641900520
1196428',,,285760,-1641717520
1196428',,,514254,-1641491020
1196428',,,385440,-1641417020
1196428',,,730175,-1642417020
1196428',,,791266,-1657417020
1196428',,,789413,-1657161420
1196428',,,519603,-1672161420
1196428',,,714748,-1687161420
1196428',,,591263,-1702161420
1196428',,,659105,-1717161420
1196428',,,652046,-1732161420
1196428',,,721340,-1732014020
1196428',,,855499,-1731878520
1196428',,,333645,-1731464520
1196428',,,306986,-1731254020
1196428',,,367241,-1716254020
1196428',,,781888,-1701254020
1196428',,,756484,-1686254020
1196428',,,179936,-1671254020
1196428',,,497491,-1656254020
1196428',,,177883,-1641254020
1196428',,,401231,-1626254020
1196428',,,882025,-1621254020
1196428',,,858388,-1621122520
1196428',,,919373,-1620455520
1196428',,,195295,-1576593369
1196428',,,321245,-1576048869
1196428',,,307217,-1575750369
1196428',,,835704,-1575366369
1196428',,,171243,-1590366369
1196428',,,851540,-1605366369
1196428',,,939755,-1620366369
1196428',,,527277,-1630366369
1196428',,,357612,-1640366369
1196428',,,598607,-1650366369
1196428',,,604886,-1650230369
1196428',,,626752,-1649740369
1196428',,,686638,-1641340369
1196428',,,772660,-1641230369
1196428',,,368366,-1641126369
1196428',,,374988,-1641077269
1196428',,,951779,-1640913269
1196428',,,460390,-1640913298
1196428',,,869421,-1655913298
1196428',,,147129,-1655801298
1196428',,,940614,-1655801327
1196428',,,982951,-1670801327
1196428',,,353736,-1670801355
1196428',,,554342,-1685801355
1196428',,,537707,-1685614355
1196428',,,600355,-1685547095
1196428',,,212199,-1685547124
1196428',,,674430,-1700547124
1196428',,,857332,-1700547153
1196428',,,933231,-1715547153
1196428',,,464275,-1730547153
1196428',,,615553,-1745547153
1196428',,,788187,-1760547153
1196428',,,107095,-1761547153
1196428',,,531688,-1761536153
1196428',,,395036,-1761351453
1196428',,,837637,-1761805969
1196428',,,584753,-1761647469
1196428',,,970385,-1761556969
1196428',,,501156,-1761056969
1196428',,,370357,-1746056969
1196428',,,812899,-1731056969
1196428',,,263028,-1726056969
1196428',,,515073,-1725626969
1196428',,,210333,-1725510469
1196428',,,964555,-1725002469
1196428',,,571044,-1724259969
1196428',,,132112,-1739259969
1196428',,,580904,-1754259969
1196428',,,299832,-1739359969
1196428',,,602369,-1731359969
1196428',,,939406,-1716459969
1196428',,,912343,-1701559969
1196428',,,395825,-1686659969
1196428',,,975566,-1671759969
1196428',,,584889,-1656859969
1196428',,,581256,-1656234469
1196428',,,535864,-1655768469
1196428',,,295105,-1670768469
1196428',,,298019,-1685768469
1196428',,,294947,-1700768469
1196428',,,540620,-1715768469
1196428',,,127101,-1715226469
1196428',,,723684,-1714676969
1196428',,,456391,-1714393969
1196428',,,527962,-1713726469
1196428',,,395131,-1713719169
1196428',,,379859,-1713132169
1196428',,,775822,-1714132169
1196428',,,718789,-1713938669
1196428',,,178452,-1713074669
1196428',,,761236,-1711765569
1196428',,,413511,-1711750569
1196428',,,806866,-1670059790
1196428',,,843192,-1669930790
1196428',,,876739,-1669830790
1196428',,,915331,-1684830790
1196428',,,822400,-1684467790
1196428',,,661984,-1684257790
1196428',,,806682,-1684177520
1196428',,,492913,-1683840520
1196428',,,892189,-1683648020
1196428',,,331723,-1681648020
1196428',,,209935,-1676648020
1196428',,,467967,-1674648020
1196428',,,540010,-1672648020
1196428',,,652746,-1670648020
1196428',,,327401,-1655648020
1196428',,,760111,-1640648020
1196428',,,167894,-1625748020
1196428',,,450732,-1620748020
1196428',,,217887,-1605848020
1196428',,,146916,-1590948020
1196428',,,858343,-1590882220
1196428',,,742445,-1605882220
1196428',,,284994,-1620882220
1196428',,,118577,-1635882220
1196428',,,461391,-1650882220
1196428',,,756109,-1660882220
1196428',,,809684,-1675882220
1196428',,,383899,-1690882220
1196428',,,681674,-1705882220
1196428',,,881977,-1720882220
1196428',,,198916,-1735882220
1196428',,,280141,-1735480220
1196428',,,592988,-1735329220
1196428',,,122001,-1735071720
1196428',,,182209,-1734598720
1196428',,,734232,-1734492720
1196428',,,125744,-1734092720
1196428',,,345666,-1733674220
1196428',,,301550,-1733194720
1196428',,,588288,-1733016720
1196428',,,833039,-1732726720
1196428',,,205925,-1727726720
1196428',,,285901,-1722726720
1196428',,,897686,-1722347720
1196428',,,141166,-1722207720
1196428',,,146931,-1722192720
1196428',,,945749,-1721972720
1196428',,,662651,-1721248420
1196428',,,623644,-1679596150
1196428',,,289692,-1679447150
1196428',,,608825,-1678940150
1196428',,,132686,-1677981650
1196428',,,834364,-1676834650
1196428',,,723357,-1686834650
1196428',,,791741,-1696834650
1196428',,,279302,-1706834650
1196428',,,740464,-1706626650
1196428',,,195594,-1706606150
1196428',,,543503,-1716606150
1196428',,,924667,-1716317150
1196428',,,842938,-1716218150
1196428',,,365516,-1716045650
1196428',,,772389,-1715745650
1196428',,,256193,-1700845650
1196428',,,442882,-1685945650
1196428',,,327278,-1671045650
1196428',,,641566,-1670932350
1196428',,,659269,-1670232350
1196428',,,940426,-1660232350
1196428',,,859962,-1650232350
1196428',,,504125,-1640232350
1196428',,,362114,-1630232350
1196428',,,719748,-1628232350
1196428',,,869516,-1627912350
1196428',,,517964,-1627645850
1196428',,,506060,-1626865850
1196428',,,887881,-1636865850
1196428',,,999932,-1646865850
1196428',,,806596,-1656865850
1196428',,,767805,-1666865850
1196428',,,422375,-1676865850
1196428',,,758685,-1686865850
1196428',,,616422,-1696865850
1196428',,,912646,-1706865850
1196428',,,764117,-1716865850
1196428',,,887874,-1726865850
1196428',,,149934,-1741865850
1196428',,,381855,-1741517350
1196428',,,245061,-1741292350
1196428',,,728986,-1726392350
1196428',,,126258,-1711492350
1196428',,,695802,-1696592350
1196428',,,239226,-1681692350
1196428',,,368820,-1681445850
1196428',,,500762,-1680703350
1196428',,,373842,-1679962850
1196428',,,451446,-1679817850
1196428',,,945768,-1679239350
1196428',,,415093,-1678895350
1196428',,,672298,-1678397350
1196428',,,961707,-1677780350
1196428',,,214234,-1619041987
1196428',,,401475,-1618038987
1196428',,,955447,-1617484937
1196428',,,576637,-1616108437
1196428',,,834361,-1615732937
1196428',,,100517,-1625732937
1196428',,,316056,-1635732937
1196428',,,341378,-1645732937
1196428',,,588255,-1655732937
1196428',,,607390,-1665732937
1196428',,,630661,-1675732937
1196428',,,498320,-1685732937
1196428',,,545460,-1685519937
1196428',,,900103,-1683829537
1196428',,,574877,-1673829537
1196428',,,125248,-1658929537
1196428',,,400031,-1644029537
1196428',,,660347,-1643939537
1196428',,,681914,-1629039537
1196428',,,968862,-1629009537
1196428',,,413812,-1627117637
1196428',,,661247,-1627014137
1196428',,,496522,-1626816637
1196428',,,215013,-1641816637
1196428',,,740778,-1641667567
1196428',,,711045,-1651667567
1196428',,,706255,-1666667567
1196428',,,873534,-1681667567
1196428',,,118876,-1696667567
1196428',,,548033,-1701667567
1196428',,,639549,-1701267567
1196428',,,769959,-1700843067
1196428',,,570258,-1700473067
1196428',,,284455,-1710473067
1196428',,,369477,-1695573067
1196428',,,234273,-1681573067
1196428',,,407053,-1681313067
1196428',,,178451,-1681121067
1196428',,,520791,-1680121067
1196428',,,688827,-1677121067
1196428',,,370270,-1670521067
1196428',,,774411,-1655521067
1196428',,,143682,-1640521067
1196428',,,914402,-1637521067
1196428',,,405456,-1632521067
1196428',,,700971,-1629521067
1196428',,,892490,-1629311167
1196428',,,693537,-1644311167
1196428',,,682610,-1659311167
1196428',,,682235,-1658921167
1196428',,,197833,-1658316167
1196428',,,785072,-1658147567
1196428',,,161336,-1657808567
1196428',,,873196,-1657313567
1196428',,,676462,-1657013567
1196428',,,536904,-1672013567
1196428',,,128201,-1687013567
1196428',,,778958,-1702013567
1196428',,,847264,-1717013567
1196428',,,938352,-1716734667
1196428',,,942802,-1716304667
1196428',,,625851,-1716179167
1196428',,,241167,-1726179167
1196428',,,974870,-1736179167
1196428',,,711636,-1746179167
1196428',,,153090,-1756179167
1196428',,,445720,-1755685167
1196428',,,638875,-1755255167
1196428',,,884256,-1754952167
1196428',,,220235,-1754809667
1196428',,,781467,-1754272667
1196428',,,984446,-1754172667
1196428',,,259180,-1753750667
1196428',,,426878,-1753030667
1196428',,,937213,-1752851667
1196428',,,661416,-1689094312
1196428',,,194119,-1688764312
1196428',,,273586,-1687503312
1196428',,,762513,-1687113312
1196428',,,881778,-1672213312
1196428',,,791767,-1671782312
1196428',,,715902,-1671508812
1196428',,,450636,-1670302812
1196428',,,259913,-1668422812
1196428',,,316344,-1668286812
1196428',,,684364,-1668261012
1196428',,,614046,-1668134012
1196428',,,675773,-1667994012
1196428',,,856655,-1667864012
1196428',,,543553,-1667779512
1196428',,,965739,-1667645912
1196428',,,354604,-1667152912
1196428',,,825881,-1682152912
1196428',,,941314,-1681874912
1196428',,,498387,-1681696912
1196428',,,452112,-1681529412
1196428',,,268068,-1681101912
1196428',,,282325,-1681016532
1196428',,,427676,-1680722832
1196428',,,746562,-1670722832
1196428',,,895266,-1655722832
1196428',,,136657,-1653722832
1196428',,,618681,-1648722832
